wall_t,esp_ts,stepper_position,dummy_raw,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,offset_0,offset_1,offset_2,offset_3,offset_4,offset_5,offset_6,offset_7,offset_8,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8
1781551967.7604592,2523288,0,2105,-3163,-6127,4065208,4190079,2272941,-12410,-4885690,2663,1290551,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551967.842911,2523388,0,2076,-3122,-5292,4064196,4190884,2271927,-12796,-4878766,2618,1290488,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551967.9669614,2523488,0,1917,-2123,-7078,4063796,4191930,2271908,-20029,-4870053,2565,1290589,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.0432394,2523588,0,2067,-2637,-7722,4064377,4193642,2272152,-12139,-4859663,2612,1290440,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.1442502,2523688,0,2089,-3416,-5414,4063774,4194460,2272802,-7879,-4850682,2577,1290261,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.2728076,2523788,0,2097,-2390,-6271,4064336,4194807,2272376,-11122,-4847346,2573,1290585,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.3746605,2523888,0,2043,-2859,-5619,4065115,4195461,2272459,-11314,-4843661,2695,1290548,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.4455712,2523988,0,1943,-3711,-4882,4064260,4195862,2272189,-6192,-4837619,2577,1290292,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.5816207,2524088,0,1977,-3133,-5825,4064302,4197570,2272630,-8414,-4832673,2477,1290291,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.644084,2524188,0,2046,-2779,-5694,4063938,4199166,2273757,-11299,-4827088,2606,1290437,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.746612,2524288,0,2079,-3546,-5422,4063390,4198282,2272173,-8695,-4821994,2600,1290194,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
1781551968.8462188,2524388,0,2109,-2588,-6932,4065168,4197852,2271767,-13181,-4821744,2447,1290456,-1414,-11977.2,2398388,6704161,2782332,-8826.8,-1408933,-648.6,1198786,False,False,False,False,False,False,False,False,False
